trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.88395750932824,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9996736165059096}",25,0,-116.39719755757318,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.998694679076009}",20,0,-59.96136910182525,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9970638267283357}",20,0,-39.20160889318918,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.994782124029465}",30,0,-234.152703807335,"{0: 16, 1: 5, 2: 3, 3: 2, 4: 4}",1
6,False,"{'a': 0.5, 'e': 0.9918510603995955}",30,0,-187.3268224844653,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9882725491403052}",25,0,-22.992376830958854,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9840489261856107}",25,0,-103.42280612117514,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9791829485771476}",30,0,-197.1972510569609,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9736777926644639}",20,0,-44.724704788086925,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.967537052031604}",25,0,-204.67701510224893,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9607647351513363}",35,0,-174.10621989863085,"{0: 25, 1: 4, 2: 2, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9533652627685536}",20,0,-148.60654256548506,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9453434650145572}",30,0,-163.56241841922719,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9367045782541069}",25,0,-147.1713920909512,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9274542416672946}",20,0,-104.78778150540661,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9175984935684738}",25,0,-60.58352634946254,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.907143767464647}",25,0,-126.50475931611797,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8960968878558854}",20,0,-59.89027527605624,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8844650657805199}",20,0,-158.3677798070159,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8722558941080137}",20,0,-126.7097789700081,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8594773425825879}",30,0,-83.06752587380784,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
