trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-204.77528110678847,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-87.35394482434165,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-156.3881520056343,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-79.92343519688784,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-128.7953966516943,"{0: 23, 1: 6, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-84.01467281527505,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,16,5.32316582788466,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-56.389247062488444,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-72.76265492367203,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-167.1409627973845,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-123.41097923492339,"{0: 13, 1: 8, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-125.72703434332837,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-203.07714662995764,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-37.81942987609207,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-60.3262280826299,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-111.13865941441486,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-152.33565032743576,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-169.88550998177675,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-100.12802346897037,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-118.87685429535713,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-70.6134744992219,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-108.57611208666809,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-79.25382973493005,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,18,-101.08623630114094,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,0,-101.1328117440986,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-115.2229394069399,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-81.12455419805612,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-48.42424212412924,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-131.85909330458645,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-206.4385498700823,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
